"Step","conv3d_lr0.0005_dp0.2_bugnist_064 - train_accuracy","conv3d_lr0.0005_dp0.2_bugnist_064 - train_accuracy__MIN","conv3d_lr0.0005_dp0.2_bugnist_064 - train_accuracy__MAX","conv3d_lr0.0005_dp0.2_bugnist_128 - train_accuracy","conv3d_lr0.0005_dp0.2_bugnist_128 - train_accuracy__MIN","conv3d_lr0.0005_dp0.2_bugnist_128 - train_accuracy__MAX"
"0","0.47269038701622973","0.47269038701622973","0.47269038701622973","0.22799625468164794","0.22799625468164794","0.22799625468164794"
"1","0.6668227215980025","0.6668227215980025","0.6668227215980025","0.2885455680399501","0.2885455680399501","0.2885455680399501"
"2","0.7345505617977528","0.7345505617977528","0.7345505617977528","0.32459425717852686","0.32459425717852686","0.32459425717852686"
"3","0.7638888888888888","0.7638888888888888","0.7638888888888888","0.3799937578027466","0.3799937578027466","0.3799937578027466"
"4","0.7966604244694132","0.7966604244694132","0.7966604244694132","0.48907615480649186","0.48907615480649186","0.48907615480649186"
"5","0.8219413233458177","0.8219413233458177","0.8219413233458177","0.54041822721598","0.54041822721598","0.54041822721598"
"6","0.8342696629213483","0.8342696629213483","0.8342696629213483","0.58270911360799","0.58270911360799","0.58270911360799"
"7","0.8420724094881398","0.8420724094881398","0.8420724094881398","0.6134519350811486","0.6134519350811486","0.6134519350811486"
"8","0.857521847690387","0.857521847690387","0.857521847690387","0.6379525593008739","0.6379525593008739","0.6379525593008739"
"9","0.869538077403246","0.869538077403246","0.869538077403246","0.6558988764044944","0.6558988764044944","0.6558988764044944"
"10","0.8778089887640449","0.8778089887640449","0.8778089887640449","0.6769662921348315","0.6769662921348315","0.6769662921348315"
"11","0.8810861423220974","0.8810861423220974","0.8810861423220974","0.7024032459425718","0.7024032459425718","0.7024032459425718"
"12","0.8837390761548065","0.8837390761548065","0.8837390761548065","0.7002184769038702","0.7002184769038702","0.7002184769038702"
"13","0.8954431960049938","0.8954431960049938","0.8954431960049938","0.725187265917603","0.725187265917603","0.725187265917603"
"14","0.899812734082397","0.899812734082397","0.899812734082397","0.7312734082397003","0.7312734082397003","0.7312734082397003"
"15","0.8923220973782772","0.8923220973782772","0.8923220973782772","0.7510923845193508","0.7510923845193508","0.7510923845193508"
"16","0.8982521847690387","0.8982521847690387","0.8982521847690387","0.7545255930087391","0.7545255930087391","0.7545255930087391"
"17","0.9055867665418227","0.9055867665418227","0.9055867665418227","0.7559300873907615","0.7559300873907615","0.7559300873907615"
"18","0.9151061173533084","0.9151061173533084","0.9151061173533084","0.7643570536828964","0.7643570536828964","0.7643570536828964"
"19","0.9129213483146067","0.9129213483146067","0.9129213483146067","0.7780898876404494","0.7780898876404494","0.7780898876404494"
"20","0.91729088639201","0.91729088639201","0.91729088639201","0.7849563046192259","0.7849563046192259","0.7849563046192259"
"21","0.9138576779026217","0.9138576779026217","0.9138576779026217","0.7801186017478152","0.7801186017478152","0.7801186017478152"
"22","0.9155742821473158","0.9155742821473158","0.9155742821473158","0.7921348314606742","0.7921348314606742","0.7921348314606742"
"23","0.924625468164794","0.924625468164794","0.924625468164794","0.7888576779026217","0.7888576779026217","0.7888576779026217"
"24","0.927434456928839","0.927434456928839","0.927434456928839","0.8071161048689138","0.8071161048689138","0.8071161048689138"
"25","0.9218164794007491","0.9218164794007491","0.9218164794007491","0.8018102372034956","0.8018102372034956","0.8018102372034956"
"26","0.9257178526841449","0.9257178526841449","0.9257178526841449","0.8110174781523096","0.8110174781523096","0.8110174781523096"
"27","0.9341448189762797","0.9341448189762797","0.9341448189762797","0.8100811485642946","0.8100811485642946","0.8100811485642946"
"28","0.9285268414481898","0.9285268414481898","0.9285268414481898","0.8241260923845194","0.8241260923845194","0.8241260923845194"
"29","0.9250936329588015","0.9250936329588015","0.9250936329588015","0.8249063670411985","0.8249063670411985","0.8249063670411985"
"30","0.9299313358302123","0.9299313358302123","0.9299313358302123","0.8203807740324595","0.8203807740324595","0.8203807740324595"
"31","0.9386704119850188","0.9386704119850188","0.9386704119850188","0.8236579275905118","0.8236579275905118","0.8236579275905118"
"32","0.9369538077403246","0.9369538077403246","0.9369538077403246","0.8356741573033708","0.8356741573033708","0.8356741573033708"
"33","0.9422596754057428","0.9422596754057428","0.9422596754057428","0.8284956304619226","0.8284956304619226","0.8284956304619226"
"34","0.9375780274656679","0.9375780274656679","0.9375780274656679","0.83270911360799","0.83270911360799","0.83270911360799"
"35","0.9427278401997503","0.9427278401997503","0.9427278401997503","0.842852684144819","0.842852684144819","0.842852684144819"
"36","0.9380461922596754","0.9380461922596754","0.9380461922596754","0.8395755305867666","0.8395755305867666","0.8395755305867666"
"37","0.9444444444444444","0.9444444444444444","0.9444444444444444","0.8420724094881398","0.8420724094881398","0.8420724094881398"
"38","0.9339887640449438","0.9339887640449438","0.9339887640449438","0.840980024968789","0.840980024968789","0.840980024968789"
"39","0.9428838951310862","0.9428838951310862","0.9428838951310862","0.8503433208489388","0.8503433208489388","0.8503433208489388"
"40","0.9485018726591761","0.9485018726591761","0.9485018726591761","0.8503433208489388","0.8503433208489388","0.8503433208489388"
"41","0.9485018726591761","0.9485018726591761","0.9485018726591761","0.8450374531835206","0.8450374531835206","0.8450374531835206"
"42","0.9492821473158551","0.9492821473158551","0.9492821473158551","0.8506554307116105","0.8506554307116105","0.8506554307116105"
"43","0.9525593008739076","0.9525593008739076","0.9525593008739076","0.8612671660424469","0.8612671660424469","0.8612671660424469"
"44","0.9497503121098627","0.9497503121098627","0.9497503121098627","0.8548689138576779","0.8548689138576779","0.8548689138576779"
"45","0.9519350811485643","0.9519350811485643","0.9519350811485643","0.858458177278402","0.858458177278402","0.858458177278402"
"46","0.958645443196005","0.958645443196005","0.958645443196005","0.8593945068664169","0.8593945068664169","0.8593945068664169"
"47","0.9542759051186017","0.9542759051186017","0.9542759051186017","0.8544007490636704","0.8544007490636704","0.8544007490636704"
"48","0.9592696629213483","0.9592696629213483","0.9592696629213483","0.8640761548064919","0.8640761548064919","0.8640761548064919"
"49","0.9539637952559301","0.9539637952559301","0.9539637952559301","0.864856429463171","0.864856429463171","0.864856429463171"
"50","0.9573970037453183","0.9573970037453183","0.9573970037453183","0.8740636704119851","0.8740636704119851","0.8740636704119851"
"51","0.9602059925093633","0.9602059925093633","0.9602059925093633","0.8662609238451935","0.8662609238451935","0.8662609238451935"
"52","0.96145443196005","0.96145443196005","0.96145443196005","0.8728152309612984","0.8728152309612984","0.8728152309612984"
"53","0.9612983770287141","0.9612983770287141","0.9612983770287141","0.8715667915106118","0.8715667915106118","0.8715667915106118"
"54","0.9558364544319601","0.9558364544319601","0.9558364544319601","0.8678214731585518","0.8678214731585518","0.8678214731585518"
"55","0.958645443196005","0.958645443196005","0.958645443196005","0.8828027465667915","0.8828027465667915","0.8828027465667915"
"56","0.9566167290886392","0.9566167290886392","0.9566167290886392","0.8728152309612984","0.8728152309612984","0.8728152309612984"
"57","0.964107365792759","0.964107365792759","0.964107365792759","0.8751560549313359","0.8751560549313359","0.8751560549313359"
"58","0.9681647940074907","0.9681647940074907","0.9681647940074907","0.8715667915106118","0.8715667915106118","0.8715667915106118"
"59","0.9639513108614233","0.9639513108614233","0.9639513108614233","0.8820224719101124","0.8820224719101124","0.8820224719101124"
"60","0.9642634207240949","0.9642634207240949","0.9642634207240949","0.8837390761548065","0.8837390761548065","0.8837390761548065"
"61","0.9644194756554307","0.9644194756554307","0.9644194756554307","0.8806179775280899","0.8806179775280899","0.8806179775280899"
"62","0.9691011235955056","0.9691011235955056","0.9691011235955056","0.8732833957553059","0.8732833957553059","0.8732833957553059"
"63","0.9734706616729089","0.9734706616729089","0.9734706616729089","0.8848314606741573","0.8848314606741573","0.8848314606741573"
"64","0.9662921348314607","0.9662921348314607","0.9662921348314607","0.8857677902621723","0.8857677902621723","0.8857677902621723"
"65","0.9672284644194756","0.9672284644194756","0.9672284644194756","0.8885767790262172","0.8885767790262172","0.8885767790262172"
"66","0.9698813982521848","0.9698813982521848","0.9698813982521848","0.8885767790262172","0.8885767790262172","0.8885767790262172"
"67","0.9731585518102372","0.9731585518102372","0.9731585518102372","0.882334581772784","0.882334581772784","0.882334581772784"
"68","0.976123595505618","0.976123595505618","0.976123595505618","0.8815543071161048","0.8815543071161048","0.8815543071161048"
"69","0.9722222222222222","0.9722222222222222","0.9722222222222222","0.8945068664169787","0.8945068664169787","0.8945068664169787"
"70","0.9691011235955056","0.9691011235955056","0.9691011235955056","0.8890449438202247","0.8890449438202247","0.8890449438202247"
"71","0.9708177278401997","0.9708177278401997","0.9708177278401997","0.8884207240948814","0.8884207240948814","0.8884207240948814"
"72","0.9723782771535581","0.9723782771535581","0.9723782771535581","0.8974719101123596","0.8974719101123596","0.8974719101123596"
"73","0.9762796504369539","0.9762796504369539","0.9762796504369539","0.8974719101123596","0.8974719101123596","0.8974719101123596"
"74","0.9740948813982522","0.9740948813982522","0.9740948813982522","0.8990324594257179","0.8990324594257179","0.8990324594257179"
"75","0.9762796504369539","0.9762796504369539","0.9762796504369539","0.9004369538077404","0.9004369538077404","0.9004369538077404"
"76","0.9775280898876404","0.9775280898876404","0.9775280898876404","0.893414481897628","0.893414481897628","0.893414481897628"
"77","0.9794007490636704","0.9794007490636704","0.9794007490636704","0.8959113607990012","0.8959113607990012","0.8959113607990012"
"78","0.978776529338327","0.978776529338327","0.978776529338327","0.899812734082397","0.899812734082397","0.899812734082397"
"79","0.9789325842696629","0.9789325842696629","0.9789325842696629","0.899812734082397","0.899812734082397","0.899812734082397"
"80","0.9781523096129837","0.9781523096129837","0.9781523096129837","0.9002808988764045","0.9002808988764045","0.9002808988764045"
"81","0.9803370786516854","0.9803370786516854","0.9803370786516854","0.8968476903870163","0.8968476903870163","0.8968476903870163"
"82","0.9809612983770287","0.9809612983770287","0.9809612983770287","0.9005930087390761","0.9005930087390761","0.9005930087390761"
"83","0.9803370786516854","0.9803370786516854","0.9803370786516854","0.8952871410736579","0.8952871410736579","0.8952871410736579"
"84","0.9786204744069913","0.9786204744069913","0.9786204744069913","0.8968476903870163","0.8968476903870163","0.8968476903870163"
"85","0.9856429463171036","0.9856429463171036","0.9856429463171036","0.9038701622971286","0.9038701622971286","0.9038701622971286"
"86","0.9828339575530587","0.9828339575530587","0.9828339575530587","0.9041822721598003","0.9041822721598003","0.9041822721598003"
"87","0.9812734082397003","0.9812734082397003","0.9812734082397003","0.9101123595505618","0.9101123595505618","0.9101123595505618"
"88","0.980649188514357","0.980649188514357","0.980649188514357","0.8977840199750312","0.8977840199750312","0.8977840199750312"
"89","0.9809612983770287","0.9809612983770287","0.9809612983770287","0.9068352059925093","0.9068352059925093","0.9068352059925093"
"90","0.9857990012484394","0.9857990012484394","0.9857990012484394","0.9005930087390761","0.9005930087390761","0.9005930087390761"
"91","0.9839263420724095","0.9839263420724095","0.9839263420724095","0.9066791510611736","0.9066791510611736","0.9066791510611736"
"92","0.981585518102372","0.981585518102372","0.981585518102372","0.9060549313358303","0.9060549313358303","0.9060549313358303"
"93","0.9847066167290887","0.9847066167290887","0.9847066167290887","0.9041822721598003","0.9041822721598003","0.9041822721598003"
"94","0.9823657927590512","0.9823657927590512","0.9823657927590512","0.907147315855181","0.907147315855181","0.907147315855181"
"95","0.981585518102372","0.981585518102372","0.981585518102372","0.9119850187265918","0.9119850187265918","0.9119850187265918"
"96","0.987203495630462","0.987203495630462","0.987203495630462","0.9076154806491885","0.9076154806491885","0.9076154806491885"
"97","0.9836142322097379","0.9836142322097379","0.9836142322097379","0.9088639200998752","0.9088639200998752","0.9088639200998752"
"98","0.9857990012484394","0.9857990012484394","0.9857990012484394","0.9104244694132334","0.9104244694132334","0.9104244694132334"
"99","0.9868913857677902","0.9868913857677902","0.9868913857677902","0.906210986267166","0.906210986267166","0.906210986267166"
"100","0.987203495630462","0.987203495630462","0.987203495630462","0.9107365792759051","0.9107365792759051","0.9107365792759051"
"101","0.9884519350811486","0.9884519350811486","0.9884519350811486","0.9146379525593009","0.9146379525593009","0.9146379525593009"
"102","0.985330836454432","0.985330836454432","0.985330836454432","0.9144818976279651","0.9144818976279651","0.9144818976279651"
"103","0.9843945068664169","0.9843945068664169","0.9843945068664169","0.9063670411985019","0.9063670411985019","0.9063670411985019"
"104","0.9856429463171036","0.9856429463171036","0.9856429463171036","0.9179151061173533","0.9179151061173533","0.9179151061173533"
"105","0.9856429463171036","0.9856429463171036","0.9856429463171036","0.9122971285892634","0.9122971285892634","0.9122971285892634"
"106","0.9886079900124844","0.9886079900124844","0.9886079900124844","0.9165106117353309","0.9165106117353309","0.9165106117353309"
"107","0.9901685393258427","0.9901685393258427","0.9901685393258427","0.9174469413233458","0.9174469413233458","0.9174469413233458"
"108","0.9875156054931336","0.9875156054931336","0.9875156054931336","0.922752808988764","0.922752808988764","0.922752808988764"
"109","0.9859550561797753","0.9859550561797753","0.9859550561797753","0.9138576779026217","0.9138576779026217","0.9138576779026217"
"110","0.9870474406991261","0.9870474406991261","0.9870474406991261","0.9141697877652933","0.9141697877652933","0.9141697877652933"
"111","0.9879837702871411","0.9879837702871411","0.9879837702871411","0.9174469413233458","0.9174469413233458","0.9174469413233458"
"112","0.9912609238451935","0.9912609238451935","0.9912609238451935","0.9225967540574282","0.9225967540574282","0.9225967540574282"
"113","0.9870474406991261","0.9870474406991261","0.9870474406991261","0.9152621722846442","0.9152621722846442","0.9152621722846442"
"114","0.9870474406991261","0.9870474406991261","0.9870474406991261","0.9157303370786517","0.9157303370786517","0.9157303370786517"
"115","0.989856429463171","0.989856429463171","0.989856429463171","0.9194756554307116","0.9194756554307116","0.9194756554307116"
"116","0.990792759051186","0.990792759051186","0.990792759051186","0.9179151061173533","0.9179151061173533","0.9179151061173533"
"117","0.9878277153558053","0.9878277153558053","0.9878277153558053","0.9216604244694132","0.9216604244694132","0.9216604244694132"
"118","0.990792759051186","0.990792759051186","0.990792759051186","0.9194756554307116","0.9194756554307116","0.9194756554307116"
"119","0.990792759051186","0.990792759051186","0.990792759051186","0.9210362047440699","0.9210362047440699","0.9210362047440699"
"120","0.9878277153558053","0.9878277153558053","0.9878277153558053","0.9266541822721598","0.9266541822721598","0.9266541822721598"
"121","0.9906367041198502","0.9906367041198502","0.9906367041198502","0.9179151061173533","0.9179151061173533","0.9179151061173533"
"122","0.9862671660424469","0.9862671660424469","0.9862671660424469","0.927434456928839","0.927434456928839","0.927434456928839"
"123","0.9915730337078652","0.9915730337078652","0.9915730337078652","0.9249375780274657","0.9249375780274657","0.9249375780274657"
